Video,Condition,Nucleus ID,Condensate ID,frame,track_id,x_corr,y_corr
3626,Confined,3,10,0,4,-0.5749694105876447,6.495878369254395
3626,Confined,3,10,1,4,-1.1653817375532125,6.374272231765862
3626,Confined,3,11,1,5,-0.2298112422890347,-6.908069243756218
3626,Confined,3,12,1,7,2.7485915736725306,5.129694228818183
3626,Confined,3,13,1,2,-0.6920957817216049,1.563244592014309
3626,Confined,3,10,2,4,-1.7225018635417495,6.240359705042796
3626,Confined,3,11,2,5,0.704256933997936,-6.846125530677313
3626,Confined,3,12,2,7,2.16164033917035,5.159320805529581
3626,Confined,3,13,2,2,-0.4792540765101227,1.3148343040502934
3626,Confined,3,10,3,4,-1.4079745053820214,6.167210354014116
3626,Confined,3,11,3,5,0.32332862645333255,-6.232727326190696
3626,Confined,3,12,3,7,2.340200896797533,5.146059715067566
3626,Confined,3,13,3,10,0.14858823991853629,1.1857201105210362
3626,Confined,3,10,4,4,-0.9541312636065906,6.01001901258969
3626,Confined,3,11,4,5,-0.08171282691152446,-6.118334013960735
3626,Confined,3,12,4,7,2.5810713230094517,4.834745270302077
3626,Confined,3,13,4,3,0.27554745123069535,0.8312255845698328
3626,Confined,3,10,5,4,-0.8104545612024855,5.906765787746467
3626,Confined,3,11,5,5,0.003396542190678366,-6.311650256020437
3626,Confined,3,12,5,7,2.637773838109046,4.7051181113265
3626,Confined,3,13,5,10,0.328830131815339,0.5791016777600683
3626,Confined,3,10,6,4,-0.8838242010093379,5.693403468991474
3626,Confined,3,11,6,5,-0.009941928163675869,-6.6530322554232155
3626,Confined,3,12,6,7,2.652432826519643,4.665208741135977
3626,Confined,3,10,7,4,-0.593901420876818,5.760398304126723
3626,Confined,3,11,7,5,-0.14709873272131002,-6.634248327330586
3626,Confined,3,12,7,7,3.096132483125683,4.740937250343109
3626,Confined,3,10,8,4,-0.7570108569097395,5.985541375109567
3626,Confined,3,11,8,5,-0.4024097511092018,-6.4257949995848
3626,Confined,3,12,8,7,2.415558484463173,4.792426996630906
3626,Confined,3,10,9,4,-0.8839417327338263,6.013271775757933
3626,Confined,3,11,9,5,-0.32580643471002674,-6.426078758134971
3626,Confined,3,12,9,7,2.678595407597666,4.9262737072496465
3626,Confined,3,10,10,4,-1.089451880884482,5.941958054125722
3626,Confined,3,11,10,5,-0.2759124081215633,-6.284518517782975
3626,Confined,3,12,10,7,2.622081232274558,5.128889466537222
3626,Confined,3,13,10,17,0.10461391724226282,0.8763778179758616
3626,Confined,3,10,11,22,-0.7349210983941589,5.9753494826827795
3626,Confined,3,11,11,5,-0.3746890554304763,-6.306869993247867
3626,Confined,3,12,11,7,2.6824584878878226,4.922302305379632
3626,Confined,3,13,11,17,0.38174369695792953,0.6401800339372491
3626,Confined,3,10,12,22,-0.6934022324344551,6.032842678143021
3626,Confined,3,11,12,5,-0.5492238022086973,-6.0297288799339475
3626,Confined,3,12,12,7,2.839965572117085,5.023981098491079
3626,Confined,3,13,12,17,-0.010949420667909169,0.7582539267739088
3626,Confined,3,10,13,22,-0.9881284353203273,5.907654872776898
3626,Confined,3,11,13,5,-0.301249863891756,-6.211191555794529
3626,Confined,3,12,13,7,2.2839859819080144,5.031915089775089
3626,Confined,3,13,13,19,0.38657771186582107,0.4388584442054696
3626,Confined,3,10,14,22,-1.034375326572175,5.987216225004452
3626,Confined,3,11,14,5,-0.3272667802107244,-5.996925702937118
3626,Confined,3,12,14,7,2.5222058344528167,5.357584407541625
3626,Confined,3,10,15,22,-1.0096583696188888,5.934068477665267
3626,Confined,3,11,15,5,-0.3632463477869012,-6.2787242845559
3626,Confined,3,12,15,7,2.4968031996984936,5.100138815455555
3626,Confined,3,10,16,22,-0.9789737791319849,5.8627322709979275
3626,Confined,3,11,16,5,-0.37137564374694965,-6.330624894036702
3626,Confined,3,12,16,7,2.580778726680467,4.931959357022211
3626,Confined,3,10,17,22,-0.9706665513138323,5.779155672765824
3626,Confined,3,11,17,5,-0.5267044792691126,-6.323214961063403
3626,Confined,3,12,17,7,2.7751146712562074,5.26293617173548
3626,Confined,3,10,18,22,-0.9465374524447202,5.696476051897977
3626,Confined,3,11,18,5,-0.5863625912798778,-6.292659731381902
3626,Confined,3,10,19,22,-0.8336670621988063,5.6698475145137675
3626,Confined,3,11,19,5,-0.6319439665886531,-6.346455824816266
3626,Confined,3,10,20,22,-0.7787818024839793,5.564383727209008
3626,Confined,3,11,20,5,-0.8683938988146894,-6.189867273075434
3626,Confined,3,10,21,22,-0.7554210737481196,5.582403381742417
3626,Confined,3,11,21,5,-0.9562886149082973,-5.927376884452383
3626,Confined,3,10,22,22,-0.8313076025210073,5.614830447418091
3626,Confined,3,11,22,5,-1.1196244765051702,-5.599403127071187
3626,Confined,3,10,22,22,3.6602779899312377,1.3302367908889996
3626,Confined,3,11,22,5,3.371961115947075,-9.883996783600278
3626,Confined,3,10,23,22,-0.7798296682305343,5.565671451981662
3626,Confined,3,11,23,5,-1.222756942568529,-5.495841105198931
3626,Confined,3,10,24,43,-0.7248228752761728,5.563699749283662
3626,Confined,3,11,24,5,-1.4534123146946456,-5.499097489136156
3626,Confined,3,10,25,43,-0.5546977383183785,5.443862156802857
3626,Confined,3,11,25,5,-1.33069684949774,-5.487754233860531
3626,Confined,3,10,26,72,-1.0103588478496732,5.189859442442532
3626,Confined,3,11,26,5,-1.4511699986590785,-5.52572156412974
3626,Confined,3,11,27,5,-1.587900784928919,-5.460690579089206
