,Image_name_x,Condition,M1: sum overlap / HP1a total,Number of total aggregates
0,2022-08-31_nuc1,Non-Confined,0.7484137219499614,10
10,2022-08-31_nuc2,Non-Confined,0.9041935227182304,6
16,2022-08-31_nuc3,Non-Confined,0.3902467321525253,20
36,2022-08-31_nuc4,Non-Confined,0.4807446888371743,17
53,2022-08-31_nuc5,Non-Confined,0.5749105241698003,9
62,2022-08-31_nuc6,Non-Confined,0.7277388694347173,8
70,2022-08-31_nuc7,Non-Confined,0.8051447396088877,10
80,2022-08-31_nuc8,Non-Confined,0.927738135689206,14
94,2022-09-01_nuc9,Non-Confined,0.6992397710771333,7
101,2022-09-01_nuc10,Non-Confined,0.8959922198904643,12
113,2022-08-26_nuc11,Non-Confined,0.7354984467664502,6
119,2022-08-26_nuc12,Non-Confined,0.8786596295558654,7
126,2022-08-26_nuc13,Confined,0.648688852054911,8
134,2022-08-26_nuc14,Confined,0.4915303065222401,6
140,2022-08-26_nuc15,Confined,0.703884320952651,10
150,2022-08-26_nuc16,Confined,0.7957470938474625,10
160,2022-08-26_nuc17,Confined,0.903850830968788,8
168,2022-08-26_nuc18,Confined,0.424267340106889,8
176,2022-08-26_nuc19,Confined,0.4925076534722595,13
189,2022-08-26_nuc20,Confined,0.5956366154911693,9
198,2022-08-26_nuc21,Confined,0.7467672413793104,11
209,2023-10-21_nuc22,Confined,0.8005047236961305,11
220,2023-10-21_nuc23,Confined,0.8176165803108808,12
232,2023-10-21_nuc24,Non-Confined,0.8545766198148783,6
238,2023-10-21_nuc25,Non-Confined,0.7194073290117741,7
245,2023-10-21_nuc26,Non-Confined,0.8383439092895038,8
253,2023-10-21_nuc27,Non-Confined,0.7619956040310206,10
263,2023-10-21_nuc28,Non-Confined,0.5764392138674705,11
274,2023-10-21_nuc29,Non-Confined,0.8495100013424621,8
282,2023-10-21_nuc30,Non-Confined,0.6165050231167657,26
308,2023-10-21_nuc31,Non-Confined,0.696532692393288,6
314,2023-10-21_nuc32,Non-Confined,0.9047350301935776,6
320,2023-10-21_nuc33,Non-Confined,0.9236896002427368,5
325,2023-10-21_nuc34,Non-Confined,0.8111866238234708,14
339,2023-10-21_nuc35,Non-Confined,0.706153917178339,10
349,2023-10-21_nuc36,Non-Confined,0.7079064237507431,12
361,2023-10-21_nuc37,Non-Confined,0.950043630017452,10
371,2023-10-21_nuc38,Non-Confined,0.939000992391664,9
380,2023-10-21_nuc39,Non-Confined,0.6892431572453651,13
393,2023-10-21_nuc40,Non-Confined,0.8401682439537329,13
406,2023-10-21_nuc41,Non-Confined,0.7680625731494961,13
419,2023-10-21_nuc42,Non-Confined,0.7608695652173914,6
425,2023-10-21_nuc43,Non-Confined,0.8645150155333103,8
433,2023-10-21_nuc44,Confined,0.8977925612337466,3
436,2023-10-21_nuc45,Confined,0.7246155801245393,6
442,2023-10-21_nuc46,Confined,0.4880228816589202,5
447,2023-10-21_nuc47,Confined,0.8389488605386545,5
452,2023-10-21_nuc48,Confined,0.5618705035971223,3
455,2023-10-21_nuc49,Confined,0.4383107088989442,11
466,2023-10-21_nuc50,Confined,0.8913608783588558,2
468,2023-10-21_nuc51,Confined,0.8816528925619834,7
475,2023-10-21_nuc52,Confined,0.9316528925619836,11
486,2023-10-21_nuc53,Confined,0.4282329713721619,6
492,2023-10-21_nuc54,Confined,0.8204722630211275,7
499,2023-10-21_nuc55,Confined,0.840728591160221,6
505,2023-10-21_nuc56,Confined,0.916571053925586,3
