,Image_name_x,Condition,M1: sum overlap / HP1a total,Number of total aggregates
0,2023-12-13_Z_stack1,Non-Confined,0.71293878735132,10
10,2023-12-13_Z_stack2,Non-Confined,0.6585032887932818,19
29,2023-12-13_Z_stack3,Non-Confined,0.3198206278026906,13
42,2023-12-13_Z_stack4,Non-Confined,0.8972478976996316,3
45,2023-12-13_Z_stack5,Non-Confined,0.6956427440518793,34
79,2023-12-13_Z_stack6,Non-Confined,0.9590542621614276,4
83,2023-12-13_Z_stack7,Confined,0.9685238784370478,10
93,2023-12-13_nucleus1_Z_stack8,Confined,0.983663538408064,7
100,2023-12-13_nucleus2_Z_stack8,Confined,0.9791220556745182,4
104,2024-01-18_Z_stack9,Non-Confined,0.5355796356350022,4
108,2024-01-18_Z_stack10,Non-Confined,0.6846572048875891,12
120,2024-01-18_Z_stack11,Non-Confined,0.8226602786819296,25
145,2024-01-18_Z_stack12,Non-Confined,0.5945813083067985,24
169,2024-01-18_Z_stack132024-01-18_Z_stack14,Non-Confined,0.616465418318381,23
192,2024-01-18_Z_stack15,Non-Confined,0.8855879665883581,7
199,2024-01-18_Z_stack16,Non-Confined,0.7655142663462131,20
219,2024-01-18_Z_stack17,Non-Confined,0.97077699545143,2
221,2024-01-18_Z_stack18,Non-Confined,0.796975277638261,17
238,2024-01-18_Z_stack19,Non-Confined,0.7053896661330363,10
248,2024-01-18_Z_stack20,Confined,1.0,2
250,2024-01-18_Z_stack21,Confined,0.9342136854741896,10
260,2024-01-18_Z_stack22,Non-Confined,0.9422361464656354,12
272,2024-01-18_Z_stack23,Non-Confined,0.6667383820998278,19
291,2024-01-18_Z_stack24,Confined,0.9975911906400552,7
298,2024-01-18_Z_stack25,Confined,0.3521772345301757,1
299,2024-01-18_Z_stack26,Confined,0.7999324095978371,7
