,Sphericity_nucleus,Confiner height ($\mu$m)
0,0.5423614104928574,Non-confined
1,0.4670399970186458,Non-confined
2,0.4427929498552331,Non-confined
3,0.4319146507639079,Non-confined
4,0.4973564787709073,Non-confined
5,0.5547952795169594,Non-confined
6,0.6143087761112082,Non-confined
7,0.5359924582563736,Non-confined
8,0.5291919402405715,Non-confined
9,0.3144143212042496,Non-confined
10,0.3941164869125649,Non-confined
11,0.3756354350176247,Non-confined
12,0.5529605011710728,Non-confined
13,0.3916809287871454,Non-confined
14,0.3538779540332986,Non-confined
15,0.3964439304127292,Non-confined
16,0.344426963218631,Non-confined
17,0.382872188984912,Non-confined
18,0.4074175001268666,Non-confined
19,0.4828718495867582,Non-confined
20,0.5384762129426051,Non-confined
21,0.5058946330424178,Non-confined
22,0.4437906567956569,Non-confined
23,0.3259451041160122,$<8.0$ -- $5.0$
24,0.32356741057104,$<8.0$ -- $5.0$
25,0.3624604250870893,$<8.0$ -- $5.0$
26,0.3286679534409414,$<5.0$
27,0.3618465690692788,$<8.0$ -- $5.0$
28,0.4022329637560943,$<5.0$
29,0.3615149675077618,$<8.0$ -- $5.0$
30,0.3497494984428378,$<8.0$ -- $5.0$
31,0.3112569309183648,$<5.0$
32,0.2506139571805632,$<8.0$ -- $5.0$
33,0.4063627675742547,$<8.0$ -- $5.0$
34,0.3579842726724503,$<5.0$
35,0.3350167415792815,Not set
36,0.399975052247087,$<8.0$ -- $5.0$
37,0.398808803135995,$<8.0$ -- $5.0$
38,0.5707648326872241,$<8.0$ -- $5.0$
39,0.4116152152571417,$<5.0$
40,0.4434447338757072,$<8.0$ -- $5.0$
41,0.4198571938502711,$<5.0$
42,0.5912291801662576,$<5.0$
43,0.3932818344599135,Not set
44,0.3547491860018915,$<8.0$ -- $5.0$
45,0.356928216909661,$<5.0$
46,0.3713571256681725,$<8.0$ -- $5.0$
47,0.4708909420225088,$<8.0$ -- $5.0$
48,0.4964809039424194,$<5.0$
49,0.4525090177145731,$<8.0$ -- $5.0$
50,0.3915856341067861,$<8.0$ -- $5.0$
51,0.3564323342471484,$<5.0$
52,0.3617037734472736,$<8.0$ -- $5.0$
53,0.3821088961080831,$<8.0$ -- $5.0$
54,0.3781030945195729,$<8.0$ -- $5.0$
55,0.3856563997425729,$<8.0$ -- $5.0$
56,0.3169463039350949,$<8.0$ -- $5.0$
